,StockCode,Product,UnitPrice,TotalAmount,Quantity
2368,23843,"PAPER CRAFT , LITTLE BIRDIE",2.08,168469.6,80995
1257,22423,REGENCY CAKESTAND 3 TIER,10.95,142592.94999999963,12402
2959,85099,JUMBO  BAG BAROQUE BLACK WHITE,1.65,139540.02000000176,75781
2969,85123,WHITE HANGING HEART T-LIGHT HOLDER,2.55,100603.49999999866,36782
1966,23166,MEDIUM CERAMIC TOP STORAGE JAR,1.04,81416.72999999995,77916
2510,47566,TEA TIME PARTY BUNTING,4.65,79289.58000000037,17582
3198,POST,POSTAGE,18.0,77803.95999999999,3120
2909,84997,CHILDRENS CUTLERY RETROSPOT RED ,3.75,57628.84000000008,15176
2858,84879,ASSORTED COLOUR BIRD ORNAMENT,1.69,56580.33999999958,35362
3196,M,Manual,1.25,53779.929999999964,7173
1888,23084,RABBIT NIGHT LIGHT,2.08,51346.200000000135,27202
1331,22502,PICNIC BASKET WICKER SMALL,5.95,47366.200000000004,1488
2632,79321,CHILLI LIGHTS,3.82,46286.50999999999,9650
954,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,2.55,42660.83000000004,15617
14,15056,EDWARDIAN PARASOL BLACK,5.95,40169.54000000005,7374
345,21137,BLACK RECORD COVER FRAME,3.39,39064.55000000006,11406
2002,23203,JUMBO BAG VINTAGE DOILY ,2.08,37684.3800000001,19516
1226,22386,JUMBO BAG PINK POLKADOT,1.95,37289.590000000055,20165
1057,22197,POPCORN HOLDER,0.72,37226.43000000013,49183
2085,23298,SPOTTY BUNTING,4.95,36173.9499999999,7785
2071,23284,DOORMAT KEEP CALM AND COME IN,6.75,35913.84999999998,5342
2648,82484,WOOD BLACK BOARD ANT WHITE FINISH,6.45,34478.0100000002,5921
1539,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,4.95,33347.79999999982,7020
1770,22960,JAM MAKING SET WITH JARS,4.25,32662.970000000012,8151
1038,22178,VICTORIAN GLASS HANGING T-LIGHT,1.25,28776.51000000014,22433
